Date;Time;Weekday;P_pump;p_TDLAS;p_in;I_total;U_supply;external_pump;Runtime;Conc_estimate;pCH4;xCH4;T_control;T_gas;%rH_gas;
2021-05-21;09:51:51;5;0.45;1015.35;1007.03;475.312;19.107678;1;340426211;2.84;2.668;2.685;43.998;39.784;37.944;
2021-05-21;09:51:53;5;0.45;1015.2;1007.03;477.937;19.106697;1;340426213;2.325;2.184;2.198;44.001;39.779;37.978;
2021-05-21;09:51:55;5;0.45;1015.07;1007.0;474.812;19.107679;1;340426215;2.814;2.644;2.66;44.0;39.784;37.995;
2021-05-21;09:51:57;5;0.45;1014.82;1007.02;465.437;19.111114;1;340426217;2.565;2.41;2.424;44.008;39.784;37.978;
2021-05-21;09:51:59;5;0.45;1014.76;1007.04;477.875;19.106697;1;340426219;2.23;2.094;2.108;43.994;39.779;37.978;
2021-05-21;09:52:01;5;0.45;1015.3;1007.01;468.437;19.109641;1;340426221;2.779;2.611;2.627;44.003;39.789;37.979;
2021-05-21;09:52:03;5;0.45;1015.23;1007.02;471.187;19.10866;1;340426223;2.464;2.315;2.329;44.005;39.789;37.979;
2021-05-21;09:52:05;5;0.45;1015.06;1007.02;481.062;19.105715;1;340426225;2.63;2.471;2.486;43.993;39.784;37.961;
2021-05-21;09:52:07;5;0.45;1014.8;1007.01;468.312;19.110132;1;340426227;2.27;2.132;2.145;44.009;39.779;37.978;
2021-05-21;09:52:09;5;0.45;1014.77;1007.01;474.75;19.10817;1;340426229;2.634;2.474;2.49;44.0;39.789;37.979;
2021-05-21;09:52:11;5;0.45;1015.24;1007.01;408.437;19.109642;1;340426231;2.53;2.376;2.391;44.005;39.789;37.979;
2021-05-21;09:52:13;5;0.45;1015.24;1007.01;459.812;19.123384;1;340426233;2.699;2.536;2.552;44.003;39.779;37.995;
2021-05-21;09:52:15;5;0.45;1015.08;1007.02;471.25;19.132219;1;340426235;2.489;2.338;2.353;43.997;39.779;37.978;
2021-05-21;09:52:17;5;0.45;1014.85;1007.01;484.187;19.12093;1;340426237;2.505;2.353;2.368;43.99;39.789;37.979;
2021-05-21;09:52:19;5;0.45;1014.75;1007.03;474.625;19.111114;1;340426239;2.329;2.188;2.202;44.006;39.789;37.979;
2021-05-21;09:52:21;5;0.45;1015.3;1007.01;465.062;19.111114;1;340426241;2.64;2.48;2.495;44.009;39.789;37.962;
2021-05-21;09:52:23;5;0.45;1015.31;1007.02;468.125;19.110624;1;340426243;2.415;2.269;2.283;44.002;39.789;37.979;
2021-05-21;09:52:25;5;0.45;1014.81;1007.01;474.5;19.108169;1;340426245;2.554;2.4;2.414;43.996;39.8;37.946;
2021-05-21;09:52:27;5;0.45;1014.87;1007.05;468.187;19.110623;1;340426247;2.45;2.301;2.316;44.0;39.774;37.96;
2021-05-21;09:52:29;5;0.45;1015.16;1007.02;423.937;19.106206;1;340426249;2.784;2.616;2.632;43.992;39.789;37.979;
2021-05-21;09:52:31;5;0.45;1015.28;1007.0;385.437;19.105715;1;340426251;2.964;2.785;2.802;43.991;39.784;37.961;
2021-05-21;09:52:33;5;0.45;1014.98;1007.0;413.0;19.107679;1;340426253;2.779;2.611;2.627;43.997;39.784;37.978;
2021-05-21;09:52:35;5;0.449;1014.96;1007.0;385.187;19.105224;1;340426255;2.75;2.584;2.599;43.991;39.789;37.996;
2021-05-21;09:52:37;5;0.45;1014.93;1007.02;383.875;19.106697;1;340426257;2.419;2.272;2.287;43.997;39.784;37.995;
2021-05-21;09:52:39;5;0.45;1015.16;1007.0;460.0;19.111114;1;340426259;2.534;2.38;2.395;44.01;39.784;37.978;
2021-05-21;09:52:41;5;0.45;1014.9;1007.0;480.937;19.105224;1;340426261;2.355;2.212;2.226;43.991;39.779;37.978;
2021-05-21;09:52:43;5;0.45;1014.77;1007.01;480.062;19.105715;1;340426263;2.515;2.362;2.377;43.993;39.779;37.978;
