Datenumtime,Plottedtime,DRB_sensor[ppm],EB_sensor[ppm],Temperature[C],Longitude[decimalDeg],Latitude[decimalDeg]
736259.45518596,0.00469861004967242,72.341543432,18.7,4.375,9.46595,78.561755
736259.4552091,0.00472175003960729,73.297157541,18.7,4.376,9.465963,78.561743
736259.45523225,0.00474490004125983,73.49516382,18.83,4.376,9.46599,78.561727
736259.4552554,0.00476805004291236,73.662143662,18.98,4.377,9.466,78.56172
736259.45527854,0.00479119003284723,73.951337129,18.9,4.375,9.46602,78.56171
736259.45530169,0.00481434003449976,73.975155556,18.9,4.374,9.46604,78.561693
736259.45532483,0.00483748002443463,73.97270104,18.88,4.376,9.46606,78.561685
736259.45534798,0.00486063002608716,73.913986754,18.85,4.377,9.466083,78.561677
736259.45537112,0.00488377001602203,73.692572961,18.97,4.378,9.466113,78.561663
736259.45539427,0.00490692001767457,73.095019033,18.95,4.377,9.466125,78.56165
736259.45541742,0.0049300700193271,72.750698926,18.95,4.375,9.46615,78.561643
736259.45544056,0.00495321000926197,72.375043676,19,4.376,9.466188,78.56163
736259.45546371,0.0049763600109145,72.294528389,19.15,4.375,9.466205,78.56162
736259.45548685,0.00499950000084937,72.701624782,19,4.375,9.46621,78.561615
736259.45551,0.0050226500025019,73.012884184,19.1,4.376,9.46623,78.561596
736259.45553315,0.00504580000415444,74.215705355,19.3,4.376,9.46626,78.56158
736259.45555629,0.00506893999408931,75.421864204,19.25,4.377,9.46628,78.561575
736259.45557944,0.00509208999574184,76.833758391,19.3,4.377,9.466303,78.561563
736259.45560258,0.00511522998567671,78.832181201,19.25,4.377,9.46632,78.561547
736259.45562573,0.00513837998732924,80.891131046,19.53,4.378,9.466335,78.56154
736259.45564887,0.00516151997726411,82.309841856,19.6,4.378,9.466355,78.561528
736259.45567202,0.00518466997891665,84.044681549,19.6,4.378,9.46638,78.561513
736259.45569517,0.00520781998056918,85.692128903,19.43,4.378,9.4664,78.561505
736259.45571831,0.00523095997050405,86.905179197,19.43,4.378,9.46642,78.561497
736259.45574146,0.00525410997215658,87.886785354,19.43,4.379,9.466438,78.561485
736259.4557646,0.00527724996209145,88.410997729,19.3,4.379,9.466453,78.56147
736259.45578775,0.00530039996374398,89.290417004,19.3,4.378,9.46646,78.56146
736259.4558109,0.00532354996539652,89.717158386,19.67,4.377,9.466483,78.561453
736259.45583404,0.00534668995533139,89.687060424,19.55,4.376,9.466505,78.561445
736259.45585719,0.00536983995698392,89.97453449,19.55,4.375,9.466517,78.561437
736259.45588033,0.00539297994691879,90.040474463,19.63,4.376,9.466528,78.561423
736259.45590348,0.00541612994857132,90.565204272,19.75,4.377,9.46654,78.561407
736259.45592662,0.00543927005492151,91.089934081,19.75,4.377,9.46655,78.5614
736259.45594977,0.00546242005657405,91.166476225,19.83,4.379,9.466558,78.56139
736259.45597292,0.00548557005822659,91.512778818,20.03,4.38,9.46657,78.561373
736259.45599606,0.00550871004816145,91.901267321,20,4.378,9.46657,78.561365
736259.45601921,0.00553186004981399,92.303011521,20,4.378,9.466585,78.56135
736259.45604235,0.00555500003974885,93.007958046,19.73,4.379,9.46661,78.56133
736259.4560655,0.00557815004140139,93.292565766,19.73,4.379,9.466625,78.56132
736259.45608865,0.00560130004305393,93.94954722,20,4.379,9.46666,78.561308
736259.45611179,0.00562444003298879,95.057276258,20.08,4.379,9.46671,78.56129
736259.45613494,0.00564759003464133,95.134119698,20.08,4.379,9.46674,78.56128
736259.45615808,0.00567073002457619,95.269284367,20.13,4.379,9.466767,78.56127
736259.45618123,0.00569388002622873,95.776275088,20.15,4.38,9.4668,78.561253
736259.45620437,0.00571702001616359,95.824402101,20.15,4.38,9.466833,78.561233
736259.45622752,0.00574017001781613,95.913351556,20,4.378,9.46686,78.561225
736259.45625067,0.00576332001946867,95.443788981,20.1,4.376,9.466883,78.561213
736259.45627381,0.00578646000940353,94.974226406,20.1,4.376,9.466895,78.5612
736259.45629696,0.00580961001105607,95.097086775,20.4,4.378,9.46691,78.561193
736259.4563201,0.00583275000099093,94.366161301,20.13,4.38,9.466938,78.56118
736259.45634325,0.00585590000264347,93.635235827,20.13,4.38,9.466973,78.56116
736259.4563664,0.005879050004296,93.36113872,20.13,4.378,9.466985,78.561145
736259.45638954,0.00590218999423087,92.69017105,20.35,4.375,9.466998,78.561133
736259.45641269,0.00592533999588341,92.179530221,20.47,4.373,9.467027,78.561117
736259.45643583,0.00594847998581827,92.1277531,20.47,4.375,9.467045,78.561105
736259.45645898,0.00597162998747081,92.22850831,20.48,4.376,9.467073,78.561093
736259.45648212,0.00599476997740567,93.018250639,20.43,4.376,9.46711,78.56108
736259.45650527,0.00601791997905821,94.114899438,20.5,4.375,9.46714,78.561073
736259.45652842,0.00604106998071074,95.336315498,20.5,4.373,9.467157,78.56106
736259.45655156,0.00606420997064561,96.940422459,20.7,4.375,9.467193,78.56104
736259.45657471,0.00608735997229815,98.54452942,20.8,4.377,9.46724,78.561025
736259.45659785,0.00611049996223301,99.858587724,20.6,4.378,9.46728,78.561017
736259.456621,0.00613364996388555,101.742111212,20.78,4.377,9.467338,78.561
736259.45664415,0.00615679996553808,103.814003429,20.97,4.378,9.467377,78.56098
736259.45666729,0.00617993995547295,105.761345376,20.97,4.378,9.467395,78.56097
736259.45669044,0.00620308995712548,107.47314664,21.15,4.379,9.467428,78.560958
736259.45671358,0.00622622994706035,108.52317442,21.1,4.379,9.46745,78.56094
736259.45673673,0.00624937994871289,109.57510536,21.03,4.376,9.467455,78.560925
736259.45675987,0.00627252005506307,109.81698788,21.15,4.373,9.467483,78.560913
736259.45678302,0.00629567005671561,110.23873339,21.15,4.372,9.46752,78.560897
736259.45680617,0.00631882005836815,110.6604789,21.23,4.372,9.46753,78.560885
736259.45682931,0.00634196004830301,111.36299839,21.43,4.372,9.46754,78.560873
736259.45685246,0.00636511004995555,111.83460203,21.4,4.372,9.467567,78.560857
736259.4568756,0.00638825003989041,111.80181374,21.33,4.372,9.467585,78.560845
736259.45689875,0.00641140004154295,112.06546865,21.33,4.373,9.467608,78.560828
736259.4569219,0.00643455004319549,112.38943221,21.3,4.373,9.467623,78.560813
736259.45694504,0.00645769003313035,112.77216749,21.3,4.373,9.467615,78.560805
736259.45696819,0.00648084003478289,113.33136825,21.43,4.368,9.46761,78.560793
736259.45699133,0.00650398002471775,114.46500659,21.75,4.366,9.46761,78.56078
736259.45701448,0.00652713002637029,115.19993112,21.73,4.369,9.46762,78.560765
736259.45703762,0.00655027001630515,116.24621809,21.65,4.371,9.46762,78.560757
736259.45706077,0.00657342001795769,116.68615233,21.68,4.373,9.46764,78.56074
736259.45708392,0.00659657001961023,117.46604041,21.93,4.374,9.467673,78.56072
736259.45710706,0.00661971000954509,118.3647106,21.93,4.376,9.46769,78.56071
736259.45713021,0.00664286001119763,119.0800053,21.9,4.378,9.46773,78.560695
736259.45715335,0.00666600000113249,119.73499135,21.85,4.377,9.46777,78.56067
736259.4571765,0.00668915000278503,120.50370408,21.97,4.378,9.467785,78.56066
736259.45719965,0.00671230000443757,120.47681545,21.85,4.384,9.46781,78.560645
736259.45722279,0.00673543999437243,120.56341426,21.93,4.385,9.467853,78.560627
736259.45724594,0.00675858999602497,120.45640967,21.93,4.385,9.46788,78.560615
736259.45726908,0.00678172998595983,119.48894271,22,4.385,9.467915,78.560598
736259.45729223,0.00680487998761237,119.05661184,21.9,4.385,9.46796,78.56058
736259.45731537,0.00682801997754723,118.28432713,21.87,4.386,9.46798,78.56057
736259.45733852,0.00685116997919977,117.33317435,22.15,4.387,9.468008,78.560554
736259.45736167,0.00687431998085231,116.23493813,22.05,4.386,9.46804,78.56053
736259.45738481,0.00689745997078717,115.13670191,22.37,4.387,9.46805,78.56052
736259.45740796,0.00692060997243971,113.3754307,22.37,4.386,9.468058,78.560513
736259.4574311,0.00694374996237457,110.879696029,22.43,4.386,9.468095,78.56049
736259.45745425,0.00696689996402711,108.209233358,22.25,4.385,9.46812,78.560475
736259.4574774,0.00699004996567965,105.7377836,22.25,4.383,9.468133,78.560463
736259.45750054,0.00701318995561451,102.798258226,22.38,4.384,9.468173,78.560445
736259.45752369,0.00703633995726705,100.158688105,22.45,4.382,9.46819,78.560425
736259.45754683,0.00705947994720191,97.617356948,22.45,4.379,9.4682,78.560417
736259.45756998,0.00708262994885445,95.328045118,22.55,4.379,9.468225,78.560395
736259.45759312,0.00710577005520463,93.125156372,22.63,4.38,9.468253,78.560373
736259.45761627,0.00712892005685717,90.99385468,22.6,4.388,9.468275,78.560365
736259.45763942,0.00715207005850971,89.370908609,22.65,4.395,9.468303,78.560345
736259.45766256,0.00717521004844457,89.312692163,22.6,4.395,9.46835,78.560327
736259.45768571,0.00719836005009711,89.241263839,22.55,4.395,9.468375,78.560315
736259.45770885,0.00722150004003197,88.739468433,22.7,4.396,9.468403,78.560295
736259.457732,0.00724465004168451,89.731006278,22.7,4.393,9.468443,78.560277
736259.45775515,0.00726780004333705,90.044218315,22.65,4.391,9.46848,78.560265
736259.45777829,0.00729094003327191,89.994734227,22.6,4.39,9.468507,78.56025
736259.45780144,0.00731409003492445,89.598213449,22.6,4.39,9.468548,78.560228
736259.45782458,0.00733723002485931,88.896386816,23.05,4.39,9.468575,78.56021
736259.45784773,0.00736038002651185,87.792510288,23,4.392,9.468593,78.5602
736259.45787087,0.00738352001644671,86.6207014,22.7,4.392,9.468625,78.560183
736259.45789402,0.00740667001809925,84.75141641,22.53,4.393,9.46866,78.560165
736259.45791717,0.00742982001975179,83.184255713,22.7,4.393,9.46868,78.560157
736259.45794031,0.00745296000968665,81.725807066,22.68,4.392,9.46871,78.560143
736259.45796346,0.00747611001133919,79.805593409,22.7,4.393,9.468735,78.560125
736259.4579866,0.00749925000127405,78.476579191,23.1,4.395,9.468747,78.560117
736259.45800975,0.00752240000292659,77.412022134,22.78,4.396,9.468773,78.560098
736259.4580329,0.00754555000457913,76.725062779,22.45,4.396,9.468813,78.56008
736259.45805604,0.00756868999451399,76.426648919,22.43,4.397,9.468835,78.560065
736259.45807919,0.00759183999616653,76.820782588,22.73,4.396,9.46886,78.560053
736259.45810233,0.00761497998610139,77.424527706,22.73,4.394,9.46889,78.560033
736259.45812548,0.00763812998775393,78.200393707,22.7,4.395,9.468905,78.560025
736259.45814862,0.00766126997768879,79.081915456,22.5,4.397,9.468925,78.56001
736259.45817177,0.00768441997934133,80.022019351,22.1,4.396,9.468967,78.55999
736259.45819492,0.00770756998099387,81.25609105,22.1,4.396,9.468985,78.55998
736259.45821806,0.00773070997092873,82.176005263,22.37,4.398,9.469007,78.55997
736259.45824121,0.00775385997258127,83.151832765,22.58,4.399,9.46905,78.559953
